ticker,shares,entry_price,entry_date,current_price,current_value,gain_loss_pct
BOL.ST,16,613.6,2026-02-05,613.5999755859375,9817.599609375,-3.97882374881639e-06
SAND.ST,27,366.8,2026-02-05,366.79998779296875,9903.599670410156,-3.327980169402585e-06
EPI-B.ST,43,229.0,2026-02-05,229.0,9847.0,0.0
ARISE.ST,222,44.6,2026-02-05,44.599998474121094,9901.199661254883,-3.421253156213196e-06
INDU-C.ST,21,473.2,2026-02-05,473.20001220703125,9937.200256347656,2.5796769360457913e-06
PEAB-B.ST,100,99.0,2026-02-05,99.0,9900.0,0.0
INDU-A.ST,21,471.8,2026-02-05,471.79998779296875,9907.799743652344,-2.587331763749191e-06
ERIC-B.ST,100,99.44,2026-02-05,99.44000244140625,9944.000244140625,2.4551551209510626e-06
ATCO-A.ST,53,187.35,2026-02-05,187.35000610351562,9929.550323486328,3.257814588035411e-06
SAAB-B.ST,15,639.2,2026-02-05,639.2000122070312,9588.000183105469,1.909735795451387e-06
